Sheet = "8102-PART1.pdf"
-------------
"SWCLLI","POPID","BEGDATE","ENDDATE","REPLDATE"
"AGSTGAMT84A","3340","10/1/99","9/30/06","-"
"AGSTGAMTDS0","3340","10/1/99","9/30/06","-"
"AGSTGAMTDS3","3340","10/1/99","9/30/06","-"
"AGSTGAMTFMD","3340","10/1/99","9/30/06","-"
"AGSTGAMTWMD","3340","10/1/99","9/30/06","-"
"AGSTGATH73C","3340","10/1/99","9/30/06","-"
"AGSTGATRCM1","3340","10/1/99","9/30/06","-"
"AGSTILXCRS0","3510","10/1/99","9/30/06","-"
"AGSTKYXARS0","3670","10/1/99","9/30/06","-"
"AGSTMEEGCM1","3780","10/1/99","9/30/06","-"
"AGSTMESTDS0","3780","10/1/99","9/30/06","-"
"AGSTMIXJDS1","3805","10/1/99","9/30/06","-"
"AGSTMOXARS0","8000","10/1/99","9/30/06","-"
"AGSTMTXCRS1","3945","10/1/99","9/30/06","-"
"AGSTWIXARS0","4670","10/1/99","9/30/06","-"
"AGSTWVXADS0","8304","10/1/99","9/30/06","-"
"AGTNTXDARS0","2080","10/1/99","9/30/06","-"
"AGTNTXTIDS0","2080","10/1/99","9/30/06","-"
"AGUDPRURRS1","4311","10/1/99","9/30/06","-"
"AGULAZXCDS0","2210","10/1/99","9/30/06","-"
"AGURPRRRRS1","4311","10/1/99","9/30/06","-"
"AGWMMABKCM0","2200","10/1/99","9/30/06","-"
"AGWMMARODS0","2200","10/1/99","9/30/06","-"
"AHMLHIQARS0","7471","10/1/99","9/30/06","-"
"AHSKNCXA33A","4001","10/1/99","9/30/06","-"
"AHVLALXARS0","3000","10/1/99","9/30/06","-"
"AHVLNC09DS0","3950","10/1/99","9/30/06","-"
"AHVLNCATDS0","3950","10/1/99","9/30/06","-"
"AHVLNCATPMD","3950","10/1/99","9/30/06","-"
"AHVLNCBI27F","3950","10/1/99","9/30/06","-"
"AHVLNCCLCM1","3950","10/1/99","9/30/06","-"
"AHVLNCHACM1","3950","10/1/99","9/30/06","-"
"AHVLNCOH04T","3950","10/1/99","9/30/06","-"
"AHVLNCOH0MD","3950","10/1/99","9/30/06","-"
"AHVLNCOH25G","3950","10/1/99","9/30/06","-"
"AHVLNCOH2MD","3950","10/1/99","9/30/06","-"
"AHVLNCOHRS0","3950","10/1/99","9/30/06","-"
"AHVLNCOHWA4","3950","10/1/99","9/30/06","-"
"AHVLNCOHXNX","3950","10/1/99","9/30/06","-"
"AHVLNCOT29F","3950","10/1/99","9/30/06","-"
"AHVLNCPSCM5","3950","10/1/99","9/30/06","-"
"AHVLNCWFCM1","4350","10/1/99","9/30/06","-"
"AHVLNCWFCM2","4350","10/1/99","9/30/06","-"
"AHVLOHXARS0","4190","10/1/99","9/30/06","-"
"AIEAHICODS1","7471","10/1/99","9/30/06","-"
"AIEAHICORS2","7471","10/1/99","9/30/06","-"
"AIKNSCMA64E","3340","10/1/99","9/30/06","-"
"AIVLGAMA77A","3335","10/1/99","9/30/06","-"
"AIVLKYXEDS0","3690","10/1/99","9/30/06","-"
"AJO AZXCDS0","2210","10/1/99","9/30/06","-"
"AKCKAKXA825","2220","10/1/99","9/30/06","-"
"AKHKAKXADS1","2220","10/1/99","9/30/06","-"
"AKIKAKXA765","2220","10/1/99","9/30/06","-"
